target,class,gender,age,bss,rd,ticket,price,place,port,boat
0,1,male,37.0,1,0,113803,53.1,C123,S,
1,1,female,35.0,1,0,113803,53.1,C123,S,D
0,1,male,47.0,0,0,111320,38.5,E63,S,
1,1,female,35.0,0,0,113503,211.5,C130,C,4
0,2,male,42.0,1,1,28220,32.5,,S,
1,2,female,34.0,1,1,28220,32.5,,S,10
1,2,female,27.0,1,0,SC/PARIS 2149,13.8583,,C,12
1,2,female,30.0,1,0,SC/PARIS 2148,13.8583,,C,12
0,2,male,23.0,0,0,29751,13.0,,S,
0,3,male,,1,0,386525,16.1,,S,
1,3,female,,1,0,386525,16.1,,S,16
0,3,male,36.5,1,0,345572,17.4,,S,15
0,3,male,19.0,0,0,348124,7.65,F G73,S,
0,3,male,30.0,0,0,A.5. 18509,8.05,,S,
